"Global
Company
Key","Calendar
Data
Year
and
Quarter","Active/Inactive
Status
Marker","Company
Name","Ticker
Symbol","Cash
and
Short-Term
Investments","Common
Shares
Outstanding","Long-Term
Debt
-
Total","Earnings
Per
Share
(Diluted)
-
Excluding
Extraordinary
Items
-
12
Months
Moving","Revenue
-
Total","Shareholders

Equity
-
Total","Market
Value
-
Total","Price
Close
-
Quarter",price Q2,P/E close,Price/Sales,LT Debt to Equity,Net Profit margin,Return on Equity,"Sales/Turnover
(Net)",Price/Book Value,Operating Margin,"% price increase, Q1 to Q2"
1690,2008Q1,A,APPLE INC,AAPL,19448,881.431,0,4.85,7512,18053,126485.3485,143.5,167.44,29.59,16.84,0,0.57,0.24,7512,7.01,0.4,0.17
1794,2008Q1,A,ASHLAND INC,ASH,921,62.933,64,3.6,2059,3296,2976.7309,47.3,48.2,13.14,1.45,0.02,0.11,0.07,2059,0.9,0.06,0.02
1920,2008Q1,A,AVON PRODUCTS,AVP,892.6,426.759,1680.3,1.31,2501.7,870.9,16874.0509,39.54,36.02,30.18,6.75,1.93,0.22,0.64,2501.7,19.38,0.47,-0.09
1976,2008Q1,A,BAKER HUGHES INC,BHI,1030.4,308,1039.7,4.84,2670.4,6163.5,21098,68.5,87.34,14.15,7.9,0.17,0.56,0.24,2670.4,3.42,0.29,0.28
1988,2008Q1,A,BALL CORP,BLL,89.9,97.598,2450.5,2.8,1740.2,1457.3,4483.6521,45.94,47.74,16.41,2.58,1.68,0.16,0.19,1740.2,3.08,0.33,0.04
1995,2008Q1,A,CONSTELLATION ENERGY GRP INC,CEG,662.6,178.4,4686.7,4.24,4812.2,6096,15747.368,88.27,82.1,20.82,3.27,0.77,0.16,0.12,4812.2,2.58,0.08,-0.07
2044,2008Q1,A,BARD (C.R.) INC,BCR,448,99.277,149.8,3.64,584,1825.5,9570.3028,96.4,87.95,26.48,16.39,0.08,0.62,0.2,584,5.24,0.47,-0.09
2086,2008Q1,A,BAXTER INTERNATIONAL INC,BAX,1736,627.663,2731,2.67,2877,6997,36291.4747,57.82,63.94,21.66,12.61,0.39,0.58,0.24,2877,5.19,0.37,0.11
2111,2008Q1,A,BECTON DICKINSON & CO,BDX,761.355,244.066,959.949,4.09,1746.925,4859.176,20953.0661,85.85,81.3,20.99,11.99,0.2,0.57,0.21,1746.925,4.31,0.43,-0.05
2136,2008Q1,A,VERIZON COMMUNICATIONS INC,VZ,7442,2850.628,32134,1.96,23833,50280,103905.3906,36.45,35.4,18.6,4.36,0.64,0.23,0.11,23833,2.07,0.73,-0.03
2154,2008Q1,A,BEMIS CO INC,BMS,157.196,99.629,815.776,1.71,947.282,1587.654,2533.5655,25.43,22.42,14.87,2.67,0.51,0.18,0.11,947.282,1.6,0.23,-0.12
2184,2008Q1,A,BEST BUY CO INC,BBY,1502,410.578,627,3.12,13418,4484,17658.9598,43.01,46.69,13.79,1.32,0.14,0.1,0.29,13418,3.94,2.38,0.09
2255,2008Q1,A,BLACK & DECKER CORP,BDK,255.4,60.938,1289.5,7.37,1495.8,1389.5,4028.0018,66.1,57.51,8.97,2.69,0.93,0.3,0.32,1495.8,2.9,0.13,-0.13
2270,2008Q1,A,ENSCO INTERNATIONAL INC,ESV,664.9,144,291.4,7.1,580.3,4030.9,9017.28,62.62,80.74,8.82,15.54,0.07,1.76,0.25,580.3,2.24,0.89,0.29
2285,2008Q1,A,BOEING CO,BA,9588,722.413,7428,5.74,15990,9066,53725.8548,74.37,65.72,12.96,3.36,0.82,0.26,0.46,15990,5.93,0.36,-0.12
2290,2008Q1,A,OFFICEMAX INC,OMX,211.359,75.906,1814.315,2.72,2302.921,2322.438,1452.8408,19.14,13.9,7.04,0.63,0.78,0.09,0.09,2302.921,0.63,0.17,-0.27
2312,2008Q1,A,ROBERT HALF INTL INC,RHI,356.064,158.797,3.644,1.85,1225.99,1027.297,4087.4348,25.74,23.97,13.91,3.33,0,0.24,0.29,1225.99,3.98,0.22,-0.07
2403,2008Q1,A,BRISTOL-MYERS SQUIBB CO,BMY,2637,1975,4660,0.92,4891,10561,42067.5,21.3,20.53,23.15,8.6,0.44,0.37,0.17,4891,3.98,0.28,-0.04
2444,2008Q1,A,BRUNSWICK CORP,BC,267.3,87.582,729.1,0.65,1346.8,1917,1398.6845,15.97,10.6,24.57,1.04,0.38,0.04,0.03,1346.8,0.73,0.12,-0.34
2490,2008Q1,A,BURLINGTON NORTHERN SANTA FE,BNI,525,344.666,8025,5.44,4261,11200,31785.0985,92.22,99.89,16.95,7.46,0.72,0.44,0.17,4261,2.84,1.41,0.08
2504,2008Q1,A,UNISYS CORP,UIS,490.2,356.253,1061.3,-0.31,1301.3,350.3,1578.2008,4.43,3.95,-14.29,1.21,3.03,-0.08,-0.32,1301.3,4.51,0.05,-0.11
2574,2008Q1,A,CSX CORP,CSX,1639,404.889,7440,3.09,2713,8742,22702.1262,56.07,62.81,18.15,8.37,0.85,0.46,0.14,2713,2.6,0.72,0.12
2710,2008Q1,A,CONSTELLATION BRANDS,STZ,20.5,216.053,4648.7,-2.8,884.4,2765.9,4150.1404,19.21,21.32,-6.86,4.69,1.68,-0.68,-0.22,884.4,1.5,0.25,0.11
2751,2008Q1,A,CARDINAL HEALTH INC,CAH,1529,356.7,3450.1,3.33,22909.6,7393.2,18730.317,52.51,51.58,15.77,0.82,0.47,0.05,0.16,22909.6,2.53,0.13,-0.02
2783,2008Q1,A,PROGRESS ENERGY INC,PGN,401,261,8901,2.69,2066,8611,10883.7,41.7,41.83,15.5,5.27,1.03,0.34,0.08,2066,1.26,0.74,0
2817,2008Q1,A,CATERPILLAR INC,CAT,862,614.769,17654,5.59,11796,9218,48130.265,78.29,73.82,14.01,4.08,1.92,0.29,0.37,11796,5.22,0.12,-0.06
2884,2008Q1,A,CENTURYTEL INC,CTL,37.539,106.259,2881.31,3.88,648.614,3399.984,3532.0492,33.24,35.59,8.57,5.45,0.85,0.64,0.12,648.614,1.04,1.46,0.07
3054,2008Q1,A,CIRCUIT CITY STORES INC,CC,297.421,168.859,57.05,-1.95,3650.5,1503.175,746.3568,4.42,4.91,-2.27,0.2,0.04,-0.09,-0.22,3650.5,0.5,0.12,0.11
3062,2008Q1,A,CINTAS CORP,CTAS,163.646,153.684,964.065,2.14,975.952,2165.463,4423.0255,28.78,29.52,13.45,4.53,0.45,0.34,0.15,975.952,2.04,0.42,0.03
3121,2008Q1,A,CLOROX CO/DE,CLX,282,137.84,2721,3.19,1353,-472,7807.2576,56.64,52.2,17.76,5.77,-5.76,0.32,-0.93,1353,-16.54,0.63,-0.08
3144,2008Q1,A,COCA-COLA CO,KO,6420,2320,3259,2.67,7379,23032,141218.4,60.87,51.98,22.8,19.14,0.14,0.84,0.27,7379,6.13,0.65,-0.15
3170,2008Q1,A,COLGATE-PALMOLIVE CO,CL,642.1,507.809,3407.8,3.16,3713,2252.2,39563.3992,77.91,69.1,24.66,10.66,1.51,0.43,0.71,3713,17.57,0.49,-0.11
3226,2008Q1,A,COMCAST CORP,CMCSA,721,2960.927,30009,0.81,8389,40798,56925.642,19.34,18.97,23.88,6.79,0.74,0.29,0.06,8389,1.4,1.97,-0.02
3310,2008Q1,A,CA INC,CA,2796,509.783,2221,0.93,1085,3709,11470.1175,22.5,23.09,24.19,10.57,0.6,0.44,0.13,1085,3.09,0.27,0.03
3413,2008Q1,A,CONSOLIDATED EDISON INC,ED,145,272.502,7906,3.58,3577,9477,10818.3294,39.7,39.09,11.09,3.02,0.83,0.27,0.1,3577,1.14,0.55,-0.02
3439,2008Q1,A,CMS ENERGY CORP,CMS,964,225.3,5943,-0.04,2184,2499,3050.562,13.54,14.9,-338.5,1.4,2.38,0,0,2184,1.22,0.46,0.1
3497,2008Q1,A,COOPER INDUSTRIES LTD,CBE,204.2,174.014,1207.4,3.89,1546.1,2726.8,6986.6621,40.15,39.5,10.32,4.52,0.44,0.44,0.25,1546.1,2.56,0.23,-0.02
3505,2008Q1,A,MOLSON COORS BREWING CO,TAP,118.7,181.4,2030.8,2.965,1356.6,7057,9537.359,52.57,54.33,17.73,7.03,0.29,0.4,0.08,1356.6,1.35,0.2,0.03
3532,2008Q1,A,CORNING INC,GLW,3309,1568,1503,1.77,1617,10740,37694.72,24.04,23.05,13.58,23.31,0.14,1.72,0.26,1617,3.51,0.62,-0.04
3650,2008Q1,A,CUMMINS INC,CMI,554,178.2,578,3.955,3474,3608,8343.324,46.82,65.52,11.84,2.4,0.16,0.2,0.2,3474,2.31,0.15,0.4
3735,2008Q1,A,DANAHER CORP,DHR,233.819,318.431,3204.144,3.77,3028.874,9574.595,24210.3089,76.03,77.3,20.17,7.99,0.33,0.4,0.13,3028.874,2.53,0.25,0.02
3897,2008Q1,A,DTE ENERGY CO,DTE,160,163.149,6645,4.85,2570,5965,6344.8646,38.89,42.44,8.02,2.47,1.11,0.31,0.13,2570,1.06,0.26,0.09
3980,2008Q1,A,DISNEY (WALT) CO,DIS,3860,1901.2,12929,2.23,8710,30788,59659.656,31.38,31.2,14.07,6.85,0.42,0.49,0.14,8710,1.94,0.41,-0.01
4029,2008Q1,A,DOMINION RESOURCES INC,D,79,578,12811,4.76,4389,9782,23605.52,40.84,47.49,8.58,5.38,1.31,0.63,0.28,4389,2.41,0.53,0.16
4040,2008Q1,A,DONNELLEY (R R) & SONS CO,RRD,405,213.9,3597.8,-0.04,2997.1,4049.3,6483.309,30.31,29.69,-757.75,2.16,0.89,0,0,2997.1,1.6,0.19,-0.02
4060,2008Q1,A,DOW CHEMICAL,DOW,1674,930.422,7392,2.97,14824,20179,34286.0507,36.85,34.91,12.41,2.31,0.37,0.19,0.14,14824,1.7,0.15,-0.05
4066,2008Q1,A,OMNICOM GROUP,OMC,862.9,320.3,3054.8,3.07,3195.4,4036.9,14150.854,44.18,44.88,14.39,4.43,0.76,0.31,0.24,3195.4,3.51,0.06,0.02
4087,2008Q1,A,DU PONT (E I) DE NEMOURS,DD,1127,900.525,5784,3.51,8835,12122,42108.549,46.76,42.89,13.32,4.77,0.48,0.36,0.26,8835,3.47,0.26,-0.08
4093,2008Q1,A,DUKE ENERGY CORP,DUK,642,1264,10083,1.3,3337,21409,22562.4,17.85,17.38,13.73,6.76,0.47,0.49,0.08,3337,1.05,0.71,-0.03
4145,2008Q1,A,PERKINELMER INC,PKI,185.262,117.847,566.068,1.2,482.343,1617.919,2857.7898,24.25,27.85,20.21,5.92,0.35,0.29,0.09,482.343,1.77,0.17,0.15
4194,2008Q1,A,EASTMAN KODAK CO,EK,2203,288,1292,-0.51,2093,3100,5088.96,17.67,14.43,-34.65,2.43,0.42,-0.07,-0.05,2093,1.64,0.02,-0.18
4213,2008Q1,A,ECOLAB INC,ECL,219.5,247.1,864.9,1.76,1457.9,2059.4,10731.553,43.43,42.99,24.68,7.36,0.42,0.3,0.21,1457.9,5.21,0.24,-0.01
4242,2008Q1,A,EL PASO CORP,EP,498,700.849,12322,0.92,1269,5329,11662.1274,16.64,21.74,18.09,9.19,2.31,0.51,0.12,1269,2.19,0.79,0.31
4321,2008Q1,A,EMERSON ELECTRIC CO,EMR,1767,782.378,3338,2.9,6023,9480,40261.1719,51.46,49.45,17.74,6.68,0.35,0.38,0.24,6023,4.25,0.26,-0.04
4423,2008Q1,A,EQUIFAX INC,EFX,85,129.2,1363.8,1.98,503.1,1443,4454.816,34.48,33.62,17.41,8.85,0.95,0.51,0.18,503.1,3.09,0.54,-0.02
4503,2008Q1,A,EXXON MOBIL CORP,XOM,41393,5283,7235,7.69,104791,123139,446836.14,84.58,88.13,11,4.26,0.06,0.39,0.33,104791,3.63,0.55,0.04
4517,2008Q1,A,FPL GROUP INC,FPL,603,408.12,12304,3.52,3434,10714,25605.4488,62.74,65.58,17.82,7.46,1.15,0.42,0.13,3434,2.39,0.45,0.05
4598,2008Q1,A,FEDEX CORP,FDX,1011,310.064,2006,6.33,9437,14192,27325.9403,88.13,91.71,13.92,2.9,0.14,0.21,0.14,9437,1.93,0.27,0.04
4843,2008Q1,A,FOREST LABORATORIES  -CL A,FRX,1777.024,311.407,0,3.06,958.808,3715.317,12459.3941,40.01,34.74,13.08,12.99,0,0.99,0.26,958.808,3.35,0.4,-0.13
4988,2008Q1,A,GANNETT CO,GCI,166.086,228.686,3980.282,4.15,1676.869,9058.59,6643.3283,29.05,21.67,7,3.96,0.44,0.57,0.1,1676.869,0.73,0.43,-0.25
5046,2008Q1,A,GENERAL DYNAMICS CORP,GD,2605,398.322,2117,5.45,7005,11777,33208.1051,83.37,84.2,15.3,4.74,0.18,0.31,0.18,7005,2.82,0.31,0.01
5071,2008Q1,A,GENERAL MILLS INC,GIS,620.4,335,3600.7,3.81,3405.6,5926.8,18756.65,55.99,63.2,14.7,5.51,0.61,0.37,0.22,3405.6,3.16,0.71,0.13
5074,2008Q1,A,ELECTRONIC DATA SYSTEMS CORP,EDS,2813,502.141,3119,1.18,5365,9618,8360.6477,16.65,24.64,14.11,1.56,0.32,0.11,0.06,5365,0.87,0.08,0.48
5125,2008Q1,A,GENUINE PARTS CO,GPC,161.519,163.818,250,3.02,2739.473,2669.674,6588.76,40.22,39.68,13.32,2.41,0.09,0.18,0.19,2739.473,2.47,0.16,-0.01
5229,2008Q1,A,GOODRICH CORP,GR,463.2,125.074,1565.3,4.31,1745,2744.3,7193.0057,57.51,47.46,13.34,4.12,0.57,0.31,0.2,1745,2.62,0.29,-0.17
5234,2008Q1,A,GOODYEAR TIRE & RUBBER CO,GT,2406,241,3684,1.68,4942,3217,6217.8,25.8,17.83,15.36,1.26,1.15,0.08,0.13,4942,1.93,0.13,-0.31
5256,2008Q1,A,GRAINGER (W W) INC,GWW,117.429,76.507,4.895,5.21,1661.046,1990.227,5844.3697,76.39,81.8,14.66,3.52,0,0.24,0.2,1661.046,2.94,0.33,0.07
5439,2008Q1,A,HALLIBURTON CO,HAL,1994,871,2624,2.8,4029,7062,34256.43,39.33,53.07,14.05,8.5,0.37,0.61,0.35,4029,4.85,0.3,0.35
5518,2008Q1,A,HASBRO INC,HAS,832.18,139.605,709.723,2.07,704.22,1266.711,3894.9795,27.9,35.72,13.48,5.53,0.56,0.41,0.23,704.22,3.07,0.24,0.28
5589,2008Q1,A,HERCULES INC,HPC,99.1,113.075,762.5,1.2,558.3,503.1,2068.1418,18.29,16.93,15.24,3.7,1.52,0.24,0.27,558.3,4.11,0.23,-0.07
5597,2008Q1,A,HERSHEY CO,HSY,152.875,227.021,1528.691,0.8,1160.342,591.191,8551.8811,37.67,32.78,47.09,7.37,2.59,0.16,0.31,1160.342,14.47,0.74,-0.13
5723,2008Q1,A,STARWOOD HOTELS&RESORTS WRLD,HOT,454,188.624,4111,2.44,1466,1943,9761.292,51.75,40.07,21.21,6.66,2.12,0.31,0.24,1466,5.02,0.37,-0.23
5742,2008Q1,A,CENTERPOINT ENERGY INC,CNP,373,328.265,8546,1.15,3363,1880,4684.3416,14.27,16.05,12.41,1.39,4.55,0.11,0.2,3363,2.49,0.45,0.12
5860,2008Q1,A,ITT CORP,ITT,899.6,181.614,482.5,3.63,2806.4,4200.9,9409.4213,51.81,63.33,14.27,3.35,0.11,0.23,0.16,2806.4,2.24,0.18,0.22
6008,2008Q1,A,INTEL CORP,INTC,13692,5722,1990,1.15,9673,40660,121191.96,21.18,21.48,18.42,12.53,0.05,0.68,0.16,9673,2.98,1.3,0.01
6066,2008Q1,A,INTL BUSINESS MACHINES CORP,IBM,12027,1373.479,19951,7.68,24502,28728,158142.3721,115.14,118.53,14.99,6.45,0.69,0.43,0.37,24502,5.5,0.16,0.03
6078,2008Q1,A,INTL FLAVORS & FRAGRANCES,IFF,61.164,80.5,1071.342,2.81,596.605,583.151,3546.025,44.05,39.06,15.68,5.94,1.84,0.38,0.39,596.605,6.08,0.26,-0.11
6097,2008Q1,A,INTL GAME TECHNOLOGY,IGT,425.9,313.8,1692.1,1.36,573.4,1369.9,12617.898,40.21,24.98,29.57,22.01,1.24,0.74,0.31,573.4,9.21,0.44,-0.38
6104,2008Q1,A,INTL PAPER CO,IP,880,427.7,6037,2.13,5668,8999,11633.44,27.2,23.3,12.77,2.05,0.67,0.16,0.1,5668,1.29,0.19,-0.14
6136,2008Q1,A,INTERPUBLIC GROUP OF COS,IPG,1512.3,471.946,2050.3,0.34,1485.2,2327.4,3969.0659,8.41,8.6,24.74,2.67,0.88,0.11,0.07,1485.2,1.71,0,0.02
6266,2008Q1,A,JOHNSON & JOHNSON,JNJ,11144,2817.531,7166,4.01,16194,45625,182773.236,64.87,64.34,16.18,11.29,0.16,0.7,0.25,16194,4.01,0.52,-0.01
6268,2008Q1,A,JOHNSON CONTROLS INC,JCI,233,593.418,3301,2.31,9406,9595,20057.5284,33.8,28.68,14.63,2.13,0.34,0.15,0.14,9406,2.09,0.1,-0.15
6304,2008Q1,A,KLA-TENCOR CORP,KLAC,1267.769,170.061,0,2.27,602.219,2989.09,6309.2631,37.1,40.71,16.34,10.48,0,0.64,0.13,602.219,2.11,0.28,0.1
6375,2008Q1,A,KELLOGG CO,K,532,379,4018,2.76,3258,2234,19920.24,52.56,48.02,19.04,6.11,1.8,0.32,0.47,3258,8.92,0.48,-0.09
6529,2008Q1,A,LSI CORP,LSI,1236.754,637.123,717.193,-3.59,660.747,2286.231,3153.7589,4.95,6.14,-1.38,4.77,0.31,-3.46,-1,660.747,1.38,0.21,0.24
6649,2008Q1,A,LEGGETT & PLATT INC,LEG,188.1,166.8,1095.8,0.18,998.3,2087.2,2543.7,15.25,16.77,84.72,2.55,0.53,0.03,0.01,998.3,1.22,0.15,0.1
6774,2008Q1,A,LOCKHEED MARTIN CORP,LMT,2947,402.123,4803,7.26,9983,9367,39930.8139,99.3,98.66,13.68,4,0.51,0.29,0.31,9983,4.26,0.23,-0.01
7065,2008Q1,A,MARSH & MCLENNAN COS,MMC,1285,511.071,3602,0.16,3047,7523,12444.5789,24.35,26.55,152.19,4.08,0.48,0.03,0.01,3047,1.65,0.16,0.09
7085,2008Q1,A,MASCO CORP,MAS,630,354.5,3996,0.74,2446,3992,7029.735,19.83,15.73,26.8,2.87,1,0.11,0.07,2446,1.76,0.14,-0.21
7116,2008Q1,A,MATTEL INC,MAT,624.863,362.5,900,1.43,919.299,2339.274,7213.75,19.9,17.12,13.92,7.85,0.38,0.56,0.22,919.299,3.08,0.01,-0.14
7146,2008Q1,A,MCCORMICK & COMPANY INC,MKC,24.436,128.191,676.665,1.8,723.95,1155.372,4416.8192,34.45,37.58,19.14,6.1,0.59,0.32,0.2,723.95,3.82,0.24,0.09
7163,2008Q1,A,MCGRAW-HILL COMPANIES,MHP,396.709,321.3,1197.472,2.81,1217.871,1520.586,11872.035,36.95,40.12,13.15,9.75,0.79,0.74,0.59,1217.871,7.81,0.2,0.09
7171,2008Q1,A,MCKESSON CORP,MCK,1362,277,1795,3.32,26231,6121,14506.49,52.37,55.91,15.77,0.55,0.29,0.04,0.15,26231,2.37,0.08,0.07
7186,2008Q1,A,MEDCO HEALTH SOLUTIONS INC,MHS,611,516.963,3589.9,1.65,12962.9,6174.6,22637.8098,43.79,47.2,26.54,1.75,0.58,0.07,0.14,12962.9,3.67,0.18,0.08
7241,2008Q1,A,CVS CAREMARK CORP,CVS,818.2,1428.895,8349,1.98,21326,32151.8,57884.5365,40.51,39.57,20.46,2.71,0.26,0.13,0.09,21326,1.8,0.36,-0.02
7257,2008Q1,A,MERCK & CO,MRK,9163.7,2146.528,3965,2.24,5822.1,19521.5,81460.7376,37.95,37.69,16.94,13.99,0.2,0.83,0.25,5822.1,4.17,0.55,-0.01
7260,2008Q1,A,MEREDITH CORP,MDP,45.478,46.268,320,3.4,401.02,816.242,1804.3185,38.25,28.29,11.25,4.5,0.39,0.39,0.19,401.02,2.17,0.35,-0.26
7343,2008Q1,A,MICRON TECHNOLOGY INC,MU,1853,760.8,2162,-1.85,1359,6738,5721.216,7.52,8.07,-4.06,4.21,0.32,-1.04,-0.21,1359,0.85,0.23,0.07
7366,2008Q1,A,ENTERGY CORP,ETR,943.331,191.897,10203.363,6.14,2864.734,7984.216,20932.1248,109.08,120.48,17.77,7.31,1.28,0.41,0.15,2864.734,2.62,0.96,0.1
7409,2008Q1,A,MILLIPORE CORP,MIL,29.066,55.071,1250.802,2.58,396.204,1172.516,3712.3361,67.41,67.86,26.13,9.37,1.07,0.36,0.12,396.204,3.17,0.28,0.01
7435,2008Q1,A,3M CO,MMM,3294,704.287,4140,5.12,6463,12435,55744.3161,79.15,69.59,15.46,8.63,0.33,0.56,0.29,6463,4.48,0.47,-0.12
7506,2008Q1,A,MOLEX INC,MOLX,492.215,178.483,155.689,1.07,822.285,2665.329,4029.9497,23.16,24.41,21.64,4.9,0.06,0.23,0.07,822.285,1.55,0.2,0.05
7585,2008Q1,A,MOTOROLA INC,MOT,7048,2255.2,4074,-0.04,7448,15180,20973.36,9.3,7.34,-232.5,2.82,0.27,-0.01,-0.01,7448,1.38,0.01,-0.21
7648,2008Q1,A,NCR CORP,NCR,851,169.8,308,1.26,1183,1667,3876.534,22.83,25.2,18.12,3.28,0.18,0.18,0.13,1183,2.33,0.07,0.1
7750,2008Q1,A,TENET HEALTHCARE CORP,THC,292,476.153,4773,-0.35,2235,32,2695.026,5.66,5.56,-16.17,1.21,149.16,-0.07,-5.21,2235,84.22,0.16,-0.02
7772,2008Q1,A,NATIONAL SEMICONDUCTOR CORP,NSM,871,242.512,1428.8,1.2,453.4,259.3,3994.1726,16.47,21.05,13.73,8.81,5.51,0.64,1.12,453.4,15.4,1.05,0.28
7866,2008Q1,A,NEW YORK TIMES CO  -CL A,NYT,47.023,143.775,678.838,0.62,747.855,949.873,2712.787,18.88,15.39,30.45,3.63,0.71,0.12,0.09,747.855,2.86,0.17,-0.18
7875,2008Q1,A,NEWELL RUBBERMAID INC,NWL,752.1,276.9,1946.9,1.69,1433.7,2249.9,6332.703,22.87,16.79,13.53,4.42,0.87,0.33,0.21,1433.7,2.81,0.17,-0.27
7881,2008Q1,A,NEWMONT MINING CORP,NEM,1073,453.528,2886,-1.4,1943,7882,19855.8009,45.3,52.16,-32.36,10.22,0.37,-0.33,-0.08,1943,2.61,2.2,0.15
7904,2008Q1,A,NICOR INC,GAS,72.9,45.12,373.4,2.85,1595.7,971.8,1511.9712,33.51,42.59,11.76,0.95,0.38,0.08,0.13,1595.7,1.56,0.16,0.27
7906,2008Q1,A,NIKE INC,NKE,2926.6,492.7,446.7,3.62,4544.4,7613.5,29660.54,60.2,68.37,16.63,6.53,0.06,0.39,0.23,4544.4,3.9,0.26,0.14
7923,2008Q1,A,NORFOLK SOUTHERN CORP,NSC,364,375.755,6350,3.73,2500,9748,20411.0116,54.32,62.67,14.56,8.16,0.65,0.56,0.14,2500,2.09,0.69,0.15
7974,2008Q1,A,NISOURCE INC,NI,81.2,274.167,5383,1.07,3289.7,5064.2,4726.6391,17.24,17.92,16.11,1.44,1.06,0.09,0.06,3289.7,0.93,0.49,0.04
7977,2008Q1,A,XCEL ENERGY INC,XEL,175.841,430.512,7139.77,1.41,3028.388,6462.028,8588.7144,19.95,20.07,14.15,2.84,1.1,0.2,0.09,3028.388,1.33,0.56,0.01
7985,2008Q1,A,NORTHROP GRUMMAN CORP,NOC,429,339.156,3974,4.84,7724,17601,26389.7284,77.81,66.9,16.08,3.42,0.23,0.21,0.09,7724,1.5,0.22,-0.14
7991,2008Q1,A,TEREX CORP,TEX,604.2,100.3,1346.5,6.37,2362.7,2538.1,6268.75,62.5,51.37,9.81,2.65,0.53,0.27,0.25,2362.7,2.47,0.19,-0.18
8030,2008Q1,A,NUCOR CORP,NUE,733.995,288.56,2491.6,5.1,4974.269,5425.694,19547.0544,67.74,74.67,13.28,3.93,0.46,0.3,0.27,4974.269,3.6,0.44,0.1
8068,2008Q1,A,OCCIDENTAL PETROLEUM CORP,OXY,1495,820.729,1775,6.87,6020,23943,60052.7409,73.17,89.86,10.65,9.98,0.07,0.94,0.24,6020,2.51,0.62,0.23
8099,2008Q1,A,FIRSTENERGY CORP,FE,70,304.835,8332,4.21,3245,8991,20917.7777,68.62,82.33,16.3,6.45,0.93,0.4,0.14,3245,2.33,0.71,0.2
8247,2008Q1,A,PPG INDUSTRIES INC,PPG,310,164.096,3639,4.57,3962,4374,9929.449,60.51,57.37,13.24,2.51,0.83,0.19,0.17,3962,2.27,0.14,-0.05
8264,2008Q1,A,PG&E CORP,PCG,1558,355.232,9215,2.62,3733,8945,13079.6422,36.82,39.69,14.05,3.5,1.03,0.25,0.1,3733,1.46,0.26,0.08
8272,2008Q1,A,SEMPRA ENERGY,SRE,1219,261,4691,4.32,3270,8756,13906.08,53.28,56.45,12.33,4.25,0.54,0.34,0.13,3270,1.59,0.48,0.06
